transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,exchange_rate,amount_usd,merchant_id,merchant_name_master,account_manager,merchant_category,default_region,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,420000,INR,CAPTURED,0.0,APAC,U001,UPI,0.0119,4998.0,,,,,,0,0
T002,2026-03-01,Alpha Mart,210000,INR,CAPTURED,55.0,OTHER,U002,Card,0.0119,2499.0,,,,,,0,0
T003,2026-03-01,Beta Stores,510000,INR,CAPTURED,71.0,APAC,U003,NetBanking,0.0119,6069.0,,,,,,1,1
T004,2026-03-02,Beta  Stores,160000,INR,FAILED E05 TIMEOUT,68.0,APAC,U004,Card,0.0119,1904.0000000000002,,,,,,0,0
T005,2026-03-02,Alpha Mart,390000,INR,CAPTURED,58.0,OTHER,U001,UPI,0.0119,4641.0,,,,,,0,0
T006,2026-03-02,Beta  Stores,275000,INR,CAPTURED,0.0,OTHER,U005,Wallet,0.0119,3272.5000000000005,,,,,,0,0
T007,2026-03-02,Alpha  Mart,450000,INR,CHARGEBACK,0.0,APAC,U006,Card,0.0119,5355.0,,,,,,1,1
T008,2026-03-03,Beta Stores,340000,INR,CAPTURED,59.0,OTHER,U007,UPI,0.0119,4046.0000000000005,,,,,,0,0
T009,2026-03-03,Alpha Mart,125000,INR,CAPTURED,46.0,APAC,U002,Wallet,0.0119,1487.5,,,,,,0,0
T010,2026-03-03,Beta Stores,610000,INR,CAPTURED,0.0,OTHER,U003,Card,0.0119,7259.000000000001,,,,,,0,0
T011,2026-03-03,Alpha  Mart,195000,INR,FAILED E05 TIMEOUT,0.0,OTHER,U008,UPI,0.0119,2320.5,,,,,,0,0
T012,2026-03-04,Beta  Stores,250000,INR,CAPTURED,0.0,APAC,U009,Card,0.0119,2975.0,,,,,,0,0
T013,2026-03-04,Alpha Mart,310000,INR,CAPTURED,0.0,APAC,U010,UPI,0.0119,3689.0000000000005,,,,,,0,0
T014,2026-03-04,Beta  Stores,470000,INR,CAPTURED,0.0,APAC,U001,NetBanking,0.0119,5593.0,,,,,,1,0
T015,2026-03-04,Alpha Mart,130000,INR,CAPTURED,0.0,OTHER,U002,Card,0.0119,1547.0,,,,,,0,0
T016,2026-03-05,Beta  Stores,220000,INR,FAILED E05 TIMEOUT,0.0,OTHER,U008,Card,0.0119,2618.0,,,,,,0,0
T017,2026-03-05,Beta  Stores,180000,INR,FAILED E05 TIMEOUT,0.0,APAC,U008,Card,0.0119,2142.0,,,,,,0,0
T018,2026-03-05,Beta Stores,145000,INR,CHARGEBACK,0.0,APAC,U008,UPI,0.0119,1725.5000000000002,,,,,,0,1
T019,2026-03-05,Alpha  Mart,260000,INR,FAILED E05 TIMEOUT,0.0,APAC,U008,Wallet,0.0119,3094.0,,,,,,0,0
T020,2026-03-05,Alpha Mart,520000,INR,CAPTURED,75.0,APAC,U005,UPI,0.0119,6188.0,,,,,,1,1
T021,2026-03-06,Beta Stores,330000,INR,CAPTURED,0.0,OTHER,U006,Card,0.0119,3927.0000000000005,,,,,,0,0
T022,2026-03-06,Alpha Mart,410000,INR,CAPTURED,60.0,APAC,U007,UPI,0.0119,4879.0,,,,,,0,0
T023,2026-03-01,City Pharma,5200,EUR,CAPTURED,42.0,EU,U003,Card,1.08,5616.0,,,,,,0,0
T024,2026-03-02,Eco Home,6100,EUR,CHARGEBACK,0.0,EU,U004,Card,1.08,6588.0,,,,,,1,1
T025,2026-03-03,City Pharma,2800,EUR,CAPTURED,38.0,EU,U005,Wallet,1.08,3024.0,,,,,,0,0
T026,2026-03-05,Eco Home,3300,EUR,FAILED E05 TIMEOUT,44.0,EU,U006,NetBanking,1.08,3564.0000000000005,,,,,,0,0
T027,2026-03-01,Delta Travels,7200,USD,CAPTURED,49.0,US,U007,Card,1.0,7200.0,,,,,,1,0
T028,2026-03-02,Delta Travels,3100,USD,CAPTURED,0.0,US,U008,Card,1.0,3100.0,,,,,,0,0
T029,2026-03-04,Delta Travels,2500,USD,CHARGEBACK,0.0,US,U009,Wallet,1.0,2500.0,,,,,,0,1
T030,2026-03-06,Delta Travels,1800,USD,FAILED E05 TIMEOUT,0.0,US,U010,UPI,1.0,1800.0,,,,,,0,0
